symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple,stop_dist_atr
SILVER,-4.714374325176115,STOP,2,2020-02-13 14:07:00,2020-02-13 14:32:00,17.76,17.64234,-1.530623399999986,0.9311522600400968
SILVER,-4.423857077480757,STOP,6,2020-02-13 15:03:00,2020-02-13 16:36:00,17.74,17.61237,-1.4816579090909159,2.3763870045613267
SILVER,-0.7721226727561916,TARGET,1,2020-02-14 01:13:00,2020-02-14 01:22:00,17.65,17.68,-0.2664999999999488,0.2909614066930812
SILVER,2.853627614654777,TARGET,3,2020-02-17 01:15:00,2020-02-17 02:11:00,17.79,17.895,0.9902142857142878,1.5300535046090602
SILVER,-0.824361706919599,TARGET_SAME,0,2020-02-17 02:03:00,2020-02-17 02:09:00,17.79,17.82,-0.28049999999994907,0.2379327329816609
SILVER,-4.660671184556503,STOP,1,2020-02-17 02:47:00,2020-02-17 03:07:00,17.91,17.80218,-1.5948020000000054,0.9974963802800058
SILVER,-6.611995194606522,STOP_SAME,0,2020-02-17 04:00:00,2020-02-17 04:07:00,17.86,17.80218,-2.337054500000038,0.5057643656672959
SILVER,-4.304712515309922,STOP_SAME,0,2020-02-18 05:17:00,2020-02-18 05:21:00,17.95,17.84214,-1.5961348888888773,1.5979427306594947
SILVER,-4.671875731487852,STOP,2,2020-02-18 07:46:00,2020-02-18 08:24:00,17.917899999999996,17.832150000000002,-1.7893969072165479,1.0164955945357657
SILVER,3.1243086956209685,TARGET,9,2020-02-18 13:31:00,2020-02-18 15:59:00,18.02,18.23,1.2410714285714295,1.3078235330369914
SILVER,-3.8584234212163855,STOP,8,2020-02-18 20:06:00,2020-02-18 23:20:00,18.25,18.12186,-1.4955623636363564,1.2947117048772097
GOLD,4.222790196009688,TARGET,319,2020-02-13 00:16:00,2020-02-19 00:45:00,1593.5,1631.0,1.3710200000000001,2.6887054828028174
SILVER,-0.8214366663330113,TARGET,1,2020-02-19 00:45:00,2020-02-19 01:00:00,18.16,18.189999999999998,-0.3175000000001275,0.3469522302850633
SILVER,-3.740086202894677,STOP_SAME,0,2020-02-19 01:00:00,2020-02-19 01:02:00,18.28,18.14184,-1.4548486666666773,0.18095426630078507
GOLD,2.7703931980804493,TARGET,1,2020-02-19 01:15:00,2020-02-19 01:38:00,1612.5,1624.9499999999998,1.1099457831325144,0.6473046846306446
GOLD,-3.6414042423670545,STOP_SAME,0,2020-02-19 01:30:00,2020-02-19 01:32:00,1617.3,1604.394,-1.4272295575221252,0.5259104684685458
GOLD,2.3605681718689655,TARGET,1,2020-02-19 05:30:00,2020-02-19 05:56:00,1611.0,1619.8500000000001,0.9523983050847541,0.5775812158583017
GOLD,-3.112929116829732,STOP_SAME,0,2020-02-19 05:56:00,2020-02-19 05:57:00,1626.2,1603.7946000000002,-1.232470894230766,0.6193029252987473
GOLD,2.572228010184416,TARGET_SAME,0,2020-02-19 06:17:00,2020-02-19 06:28:00,1613.0,1623.6499999999999,1.0441338028168956,0.6459866127474666
GOLD,2.6719291445628355,TARGET,2,2020-02-19 07:20:00,2020-02-19 07:49:00,1613.5,1624.6000000000001,1.0624189189189244,0.6537048075461279
SILVER,3.2022582048586354,TARGET,43,2020-02-19 01:15:00,2020-02-19 12:07:00,18.32,18.575000000000003,1.2829705882352962,2.203410258489417
GOLD,-3.2746051674570418,STOP,21,2020-02-19 08:18:00,2020-02-19 13:37:00,1625.4,1606.1922,-1.274965465909089,1.062519573783142
SILVER,-3.850916762014879,STOP_SAME,0,2020-02-19 13:34:00,2020-02-19 13:36:00,18.42,18.29169,-1.5001971818181647,1.1463168213865587
SILVER,-3.2953638189528838,STOP,5,2020-02-19 18:10:00,2020-02-19 19:17:00,18.45,18.26172,-1.3234807058823608,1.3432815922508468
GOLD,3.3073400205046166,TARGET,35,2020-02-19 15:26:00,2020-02-20 01:20:00,1625.5,1654.1499999999999,1.3282905759162296,0.7839978887388712
SILVER,-3.635877265619952,STOP,1,2020-02-20 03:32:00,2020-02-20 03:59:00,18.49,18.35163,-1.460096916666684,1.0059473042181077
GOLD,0.8402306889202034,TARGET,3,2020-02-20 21:15:00,2020-02-20 23:13:00,1624.4227999999998,1628.6569999999997,0.34756985971372517,0.10047357760540093
GOLD,-3.4233808787604585,STOP,6,2020-02-20 23:13:00,2020-02-21 00:59:00,1633.9,1620.2781,-1.4063398416666744,0.5634599999452924
SILVER,2.3013980037434476,TARGET,2,2020-02-21 01:30:00,2020-02-21 02:09:00,18.4,18.505,0.9727857142857165,0.5240980912441418
SILVER,-0.82363277524682,TARGET_SAME,0,2020-02-21 02:07:00,2020-02-21 02:09:00,18.4,18.43,-0.34149999999995057,0.13403885022536505
GOLD,2.428131375916089,TARGET,3,2020-02-21 01:32:00,2020-02-21 02:23:00,1628.9,1639.2500000000002,1.0263550724637744,0.7123499945175108
GOLD,2.701111983330151,TARGET_SAME,0,2020-02-21 02:19:00,2020-02-21 02:23:00,1632.0,1644.4499999999998,1.1052469879517912,0.8508164516254054
SILVER,3.227452985500688,TARGET,66,2020-02-21 02:51:00,2020-02-21 19:36:00,18.58,18.849999999999998,1.292055555555555,1.7862844883280833
SILVER,-4.14725763674547,STOP_SAME,0,2020-02-21 20:16:00,2020-02-21 20:16:00,18.62,18.511470000000003,-1.6184607777777609,0.5703720151569404
GOLD,3.5048275169381005,TARGET,112,2020-02-21 02:48:00,2020-02-24 08:16:00,1660.0,1712.1999999999998,1.403097701149422,3.0050886919784516
GOLD,-2.9068035914985373,STOP,27,2020-02-24 08:16:00,2020-02-24 15:00:00,1710.4,1672.6257,-1.140092124653736,1.858524913334133
GOLD,-3.072846845685164,STOP_SAME,0,2020-02-24 16:54:00,2020-02-24 16:57:00,1695.0,1671.7266000000002,-1.2333391944444407,0.5084976867425833
SILVER,-2.865376701408935,STOP,74,2020-02-24 01:16:00,2020-02-24 20:05:00,18.92,18.541439999999998,-1.1556151111111121,2.1122237303357703
GOLD,-2.8189952031948855,STOP,4,2020-02-25 19:49:00,2020-02-25 20:45:00,1673.3,1645.2531000000001,-1.1880853446969692,1.3561299713650927
GOLD,2.516531017840713,TARGET,3,2020-02-26 00:16:00,2020-02-26 01:05:00,1648.3,1660.3,1.086425,0.43358107444156385
GOLD,2.615341439620727,TARGET_SAME,0,2020-02-26 01:49:00,2020-02-26 01:56:00,1652.4,1665.0000000000002,1.105071428571433,0.5069859337039266
GOLD,-2.9170828512490363,STOP,14,2020-02-26 08:32:00,2020-02-26 12:03:00,1670.8,1645.0533,-1.2059150746887977,1.6991563647323702
GOLD,2.8933313458123195,TARGET,8,2020-02-26 16:42:00,2020-02-26 18:37:00,1650.7,1668.8500000000004,1.2256570247934007,0.4200054526873376
GOLD,-2.834650630957082,STOP,5,2020-02-26 19:25:00,2020-02-26 20:35:00,1671.6,1641.1571999999999,-1.1720679583333364,1.9048737180718185
GOLD,2.330906431664929,TARGET_SAME,0,2020-02-27 00:05:00,2020-02-27 00:06:00,1649.2475999999997,1658.9189999999994,0.9869150381537285,0.30524230400168983
GOLD,-2.9485003750073826,STOP,1,2020-02-27 00:21:00,2020-02-27 00:36:00,1667.2,1643.4549,-1.2242423031674174,0.9500156846892939
GOLD,-2.871760756699895,STOP,19,2020-02-27 01:06:00,2020-02-27 07:35:00,1667.9,1643.9543999999999,-1.2223073721973101,1.0284665204842565
SILVER,-6.427747758686524,STOP_SAME,0,2020-02-27 10:04:00,2020-02-27 10:10:00,18.07,18.02196,-2.804398666666571,0.22228089920467514
SILVER,-2.6340831460801875,STOP_SAME,0,2020-02-27 11:24:00,2020-02-27 11:28:00,18.3,18.031950000000002,-1.2175277999999952,0.32415852919990684
GOLD,-2.6058211360427825,STOP,4,2020-02-27 12:39:00,2020-02-27 13:44:00,1672.0,1649.1492,-1.2345259056603717,0.6643650332025133
GOLD,-2.5864062455731616,STOP,6,2020-02-27 14:42:00,2020-02-27 16:06:00,1671.2,1650.1481999999999,-1.256347845360828,1.1585128086057008
GOLD,2.0883382225334564,TARGET,4,2020-03-03 10:01:00,2020-03-03 11:07:00,1602.8,1613.3,1.0405571428571432,0.6684315380885723
SILVER,-4.255752788839869,STOP,2,2020-03-03 11:16:00,2020-03-03 11:50:00,16.85684,16.79319,-2.0772850128095652,0.6314916062767799
GOLD,-3.1093892151550353,STOP,3,2020-03-03 11:32:00,2020-03-03 12:24:00,1611.7,1600.7976,-1.5177309247311843,0.6471470475513768
GOLD,-2.617255673964593,STOP_SAME,0,2020-03-03 12:28:00,2020-03-03 12:29:00,1615.4,1600.9974,-1.3764841718749898,0.6401834747040054
SILVER,1.7316457996193695,TARGET,1,2020-03-03 12:15:00,2020-03-03 12:39:00,16.86,16.949999999999996,0.9364999999999584,1.1266520766064065
SILVER,-4.466492189045129,STOP_SAME,0,2020-03-03 14:36:00,2020-03-03 14:36:00,16.876859999999997,16.82316,-2.371134563212214,0.42619192077920676
SILVER,2.3237495891267246,TARGET,2,2020-03-03 15:00:00,2020-03-03 15:32:00,16.986969999999996,17.237424999999988,1.2950266814397637,2.8462019617012424
