pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple,stop_dist_atr
-245.08914434165925,STOP,14,2021-04-29 06:41:00,2021-04-29 10:01:00,1778.851336184036,1773.385413672734,-1.0,0.9999999999999817
-240.1873614548261,STOP,13,2021-04-29 10:01:00,2021-04-29 13:16:00,1773.425070533961,1767.7422575904607,-1.0,0.9999999999999839
-235.3836142257296,STOP,26,2021-05-04 05:23:00,2021-05-04 11:51:00,1785.0668807940542,1780.24985805409,-1.0,0.9999999999999913
-230.67594194121503,STOP,41,2021-05-12 02:15:00,2021-05-12 12:30:00,1829.3161950186498,1823.9456733039494,-1.0,1.0000000000000082
-226.06242310239068,STOP_SAME,0,2021-05-12 12:30:00,2021-05-12 12:30:00,1828.6125879368312,1823.369323142768,-1.0,0.99999999999999
-221.5411746403429,STOP,8,2021-05-12 13:27:00,2021-05-12 15:25:00,1828.454725958681,1821.784844305871,-1.0,0.9999999999999869
-217.11035114753602,STOP,77,2021-05-18 13:58:00,2021-05-19 10:14:00,1864.4523319894834,1857.4073346759387,-1.0,1.0000000000000104
638.304432373756,TARGET,203,2021-05-19 18:10:00,2021-05-23 23:58:00,1871.0941769666474,1900.0815311611502,3.0,1.0000000000000016
-225.53423277206042,STOP,27,2021-05-28 05:18:00,2021-05-28 12:10:00,1892.6310048510954,1888.1754265341656,-1.0,0.9999999999999755
-221.0235481166192,STOP,10,2021-06-03 03:16:00,2021-06-03 05:45:00,1906.0293254166381,1902.0255784246992,-1.0,1.0000000000000162
-216.6030771542868,STOP,1,2021-06-03 06:15:00,2021-06-03 06:30:00,1902.5039199081996,1897.8177366170064,-1.0,1.0000000000000122
-212.27101561120108,STOP,4,2021-06-03 06:45:00,2021-06-03 07:47:00,1900.7112325544028,1895.363702134101,-1.0,1.0000000000000082
624.0767858969396,TARGET_SAME,0,2021-06-04 12:30:00,2021-06-04 12:30:00,1867.2011189151665,1884.1820362928015,3.00000000000004,0.9999999999999879
661.5213930507624,TARGET,31,2021-06-07 05:17:00,2021-06-07 13:11:00,1886.2745180707925,1896.4617610984255,3.000000000000067,0.9999999999999667
-233.7375588779311,STOP,3,2021-06-08 07:25:00,2021-06-08 08:09:00,1896.033325423367,1892.3770900200182,-1.0,1.0000000000000193
687.1884231011173,TARGET,6,2021-06-11 09:30:00,2021-06-11 11:08:00,1895.7060915888665,1911.824298493121,2.9999999999999996,1.0000000000000018
-242.8065761623948,STOP,7,2021-06-11 11:15:00,2021-06-11 13:05:00,1891.615288224088,1885.22088909868,-1.0,0.9999999999999871
-237.95044463914692,STOP,30,2021-06-15 08:18:00,2021-06-15 15:59:00,1863.1258644907082,1858.4573369192165,-1.0,1.0000000000000189
699.5743072390786,TARGET,12,2021-06-16 11:03:00,2021-06-16 14:02:00,1856.469817495695,1868.4097335851798,2.999999999999943,1.0000000000000282
-247.18292189114553,STOP_SAME,0,2021-06-16 18:00:00,2021-06-16 18:00:00,1856.5552659324167,1851.3430495597197,-1.0,0.9999999999999991
-242.23926345332256,STOP_SAME,0,2021-06-16 18:15:00,2021-06-16 18:15:00,1853.6220147233137,1847.1554091692515,-1.0,1.0000000000000133
-237.39447818425614,STOP_SAME,0,2021-06-18 12:20:00,2021-06-18 12:26:00,1785.7003282849928,1779.7115064094119,-1.0,1.0000000000000184
-232.64658862057104,STOP,1,2021-06-18 12:30:00,2021-06-18 12:46:00,1783.9453011823562,1777.3459204005544,-1.0,0.9999999999999969
-227.9936568481596,STOP,20,2021-06-18 14:55:00,2021-06-18 19:59:00,1775.3748450269254,1767.433863702147,-1.0,0.9999999999999983
670.3013511335893,TARGET,11,2021-06-21 12:23:00,2021-06-21 15:10:00,1775.4406519903164,1793.5619537106386,3.0,1.0000000000000084
-236.83981073386818,STOP,7,2021-06-22 05:22:00,2021-06-22 07:12:00,1782.43300922097,1777.9487972854622,-1.0,1.0000000000000089
696.3090435575723,TARGET,83,2021-06-24 14:49:00,2021-06-25 12:32:00,1778.7148321306217,1795.920567455667,3.0,0.9999999999999991
738.0875861710268,TARGET,18,2021-06-25 15:03:00,2021-06-25 19:43:00,1780.00073340543,1799.5464246232166,2.9999999999999996,1.0000000000000022
782.3728413412884,TARGET,37,2021-07-01 15:14:00,2021-07-02 01:22:00,1770.4586803629895,1792.1232902017744,3.0,1.000000000000004
829.3152118217656,TARGET_SAME,0,2021-07-02 12:30:00,2021-07-02 12:35:00,1778.1729016100137,1794.7463051338198,3.0,1.0000000000000062
879.0741245310803,TARGET,116,2021-07-02 14:15:00,2021-07-06 01:29:00,1778.7064187745254,1801.6355232437231,3.0000000000000298,0.9999999999999877
931.8185720029262,TARGET_SAME,0,2021-07-13 12:30:00,2021-07-13 12:40:00,1803.24741555182,1823.9342194841242,2.999999999999967,1.0000000000000147
987.7276863231218,TARGET,65,2021-07-13 12:57:00,2021-07-14 06:08:00,1802.7878304480323,1825.9052941837213,3.0000000000000293,0.9999999999999902
1046.991347502513,TARGET,29,2021-07-15 10:23:00,2021-07-15 17:44:00,1826.3434018483022,1844.0321969995596,3.0000000000000386,0.9999999999999896
-369.93694278421674,STOP,66,2021-07-20 14:44:00,2021-07-21 08:10:00,1812.5017953460972,1803.6902928154357,-1.0,1.000000000000009
-362.53820392853237,STOP,65,2021-07-26 12:40:00,2021-07-27 05:49:00,1801.1655841620075,1793.9416098374668,-1.0,0.9999999999999998
-355.28743984996174,STOP,4,2021-08-04 14:15:00,2021-08-04 15:20:00,1814.5298742548882,1805.2483926933517,-1.0,0.9999999999999934
-348.1816910529625,STOP,4,2021-08-09 14:03:00,2021-08-09 15:01:00,1735.5982732770162,1727.6968770110545,-1.0,1.000000000000001
