pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple
110.33249640289898,TARGET,203,2021-05-19 18:13:00,2021-05-23 23:58:00,1868.3630557702868,1901.3467527580083,2.657129719879684
-95.84599915214075,STOP,8,2021-05-28 04:50:00,2021-05-28 06:53:00,1893.1647672184354,1886.5203515128674,-2.1917757783369405
-89.0962722680024,STOP,21,2021-05-28 06:46:00,2021-05-28 12:11:00,1890.5157037180409,1883.6253331071448,-2.1308312608788755
83.87308383677284,TARGET,37,2021-05-31 11:23:00,2021-06-01 01:36:00,1904.2279484520184,1916.8975146161956,2.0952037156871253
-101.1725757249496,STOP,10,2021-06-03 03:16:00,2021-06-03 05:45:00,1906.0293254166381,1900.1235528462748,-2.4257090840606694
-87.92369630610403,STOP,1,2021-06-03 06:15:00,2021-06-03 06:30:00,1902.5039199081996,1895.9199188803896,-2.215539645261205
-78.27873011113736,STOP,4,2021-06-03 06:45:00,2021-06-03 07:47:00,1900.7112325544028,1893.468338431967,-2.0639571589008967
82.0776804640811,TARGET_SAME,0,2021-06-04 12:30:00,2021-06-04 12:30:00,1867.722993237873,1882.8728908423031,2.2573027259965595
71.6741464128175,TARGET,31,2021-06-07 05:17:00,2021-06-07 13:11:00,1886.2745180707925,1896.4617610984255,1.8860372912743566
-105.46734129364523,STOP,3,2021-06-08 07:23:00,2021-06-08 08:05:00,1896.7605759355238,1891.473978015724,-2.674393111423758
-79.73560580517385,STOP,4,2021-06-11 08:15:00,2021-06-11 09:27:00,1898.6360237898366,1891.7395572541286,-2.1361579287604715
81.873421725811,TARGET,6,2021-06-11 09:30:00,2021-06-11 11:08:00,1895.7060915888665,1911.824298493121,2.291323703802879
-70.44791470296138,STOP,7,2021-06-11 11:15:00,2021-06-11 13:05:00,1891.615288224088,1883.335668209581,-1.8851765012667794
-84.21602010580649,STOP,7,2021-06-15 14:12:00,2021-06-15 15:59:00,1862.586573577992,1856.5716801602641,-2.3419072782385943
70.74913758335717,TARGET,12,2021-06-16 11:03:00,2021-06-16 14:02:00,1856.469817495695,1868.4097335851798,2.064094038057524
-76.51157782776828,STOP_SAME,0,2021-06-16 18:00:00,2021-06-16 18:01:00,1854.4861227130843,1847.7822246189062,-2.143715637326593
-63.458952278430274,STOP_SAME,0,2021-06-16 18:15:00,2021-06-16 18:15:00,1853.6220147233137,1845.3082537600824,-1.8576502202409677
-58.51841135542904,STOP,5,2021-06-18 12:26:00,2021-06-18 13:38:00,1779.6437221109722,1771.0382490893057,-1.7791243092857183
-52.92674797357162,STOP,20,2021-06-18 14:55:00,2021-06-18 19:59:00,1775.3748450269254,1765.6664298384449,-1.6684910745229007
75.52342388105974,TARGET,4,2021-06-21 14:03:00,2021-06-21 15:10:00,1772.6347480994107,1792.5531742756511,2.4630316837038406
-68.01990822977882,STOP,29,2021-06-22 05:28:00,2021-06-22 12:35:00,1780.2462743926694,1773.6875452959848,-2.1141752788830552
72.08269497241244,TARGET,83,2021-06-24 14:49:00,2021-06-25 12:32:00,1778.0511738880782,1794.2735391744866,2.339370433967066
77.95941071785387,TARGET,36,2021-07-01 15:18:00,2021-07-02 01:22:00,1769.330119388212,1787.633778310866,2.417007728444386
80.6777814029393,TARGET_SAME,0,2021-07-13 12:30:00,2021-07-13 12:40:00,1803.2992649518842,1821.0061364285475,2.3859493350662033
89.59897827733548,TARGET,65,2021-07-13 12:57:00,2021-07-14 06:08:00,1802.7878304480323,1825.9052941837213,2.5290971579598334
89.04609409496771,TARGET,19,2021-07-15 12:51:00,2021-07-15 17:44:00,1823.1517435132535,1841.2467924886955,2.392474945885728
94.81911767459414,TARGET,54,2021-07-20 14:46:00,2021-07-21 05:18:00,1809.9549599586792,1829.1502221196954,2.4312494690274002
-71.39500255581956,STOP,65,2021-07-26 12:40:00,2021-07-27 05:49:00,1801.1655841620075,1792.1476682276293,-1.7457466790719318
100.99751762400962,TARGET,31,2021-07-28 11:51:00,2021-07-28 19:38:00,1794.5698737309233,1819.1491306468429,2.558930644233072
100.8451659451793,TARGET,132,2021-08-03 01:30:00,2021-08-04 11:43:00,1810.5292613558006,1829.711040073615,2.4306721464705947
-79.08047849926291,STOP,89,2021-08-04 14:25:00,2021-08-05 13:40:00,1809.6851159819719,1801.2611291750738,-1.8177123876153352
-69.6322977362044,STOP,4,2021-08-09 14:02:00,2021-08-09 15:01:00,1736.3240710776254,1726.7406129115534,-1.6609218307515785
-63.71642447004496,STOP,6,2021-08-09 15:00:00,2021-08-09 16:30:00,1732.2766858300984,1721.503262074183,-1.5720324412311233
-76.3065004544971,STOP,4,2021-08-12 12:30:00,2021-08-12 13:37:00,1746.3821033126392,1739.1035570174122,-1.9437723738059218
87.79490109851076,TARGET,25,2021-08-16 06:17:00,2021-08-16 12:41:00,1772.4556570530058,1788.3254890097908,2.3268773439267454
-63.91285039885677,STOP,140,2021-08-17 14:12:00,2021-08-19 03:11:00,1784.2113732256441,1773.8136091618696,-1.618592671106934
98.0904090013079,TARGET,173,2021-08-19 14:06:00,2021-08-23 11:28:00,1780.1637169249557,1805.0174120770514,2.567245702452454
-92.95338043499714,STOP,11,2021-08-24 20:50:00,2021-08-25 00:34:00,1803.1911774398027,1797.2828029552265,-2.313986710408928
-87.9740778832555,STOP,21,2021-08-26 01:09:00,2021-08-26 06:29:00,1788.4634291408197,1782.5478565702115,-2.2963040102916588
75.9084984155005,TARGET,18,2021-08-26 06:30:00,2021-08-26 11:03:00,1784.783658620879,1796.420318415998,2.0767443475819456
-74.65606880740337,STOP,2,2021-08-27 13:11:00,2021-08-27 13:31:00,1793.091844877259,1785.720403214383,-1.961028622077511
88.11056133109544,TARGET,2,2021-08-27 13:30:00,2021-08-27 14:00:00,1791.1721870170736,1809.4470903255806,2.408923940681005
95.0588330246609,TARGET_SAME,0,2021-08-27 14:00:00,2021-08-27 14:01:00,1789.5400242628803,1810.285624498808,2.4794329003032507
-83.00593404698655,STOP,49,2021-08-30 06:13:00,2021-08-30 18:17:00,1813.5337778459414,1806.6173803009485,-2.062765661549706
-93.08348112323156,STOP,8,2021-08-31 10:53:00,2021-08-31 12:58:00,1813.1601327200674,1807.5072309455727,-2.4127393021007197
-75.18657380267382,STOP_SAME,0,2021-08-31 13:15:00,2021-08-31 13:15:00,1809.2629968192318,1802.2896136422673,-2.0476577776587073
74.09841801133919,TARGET,18,2021-09-01 01:33:00,2021-09-01 06:09:00,1811.915987670287,1824.0927882058907,2.104196024585138
76.13440008894614,TARGET,21,2021-09-01 07:36:00,2021-09-01 12:47:00,1812.5588875047215,1824.350456324905,2.0747008987630218
88.54249779486707,TARGET,30,2021-09-01 14:07:00,2021-09-01 22:35:00,1810.122534241516,1826.0871298857624,2.316698697826821
-94.67167237336434,STOP,62,2021-09-06 08:31:00,2021-09-07 05:04:00,1824.7843671330047,1818.9672139980703,-2.367377454601741
-65.5707339400053,STOP,42,2021-09-10 13:34:00,2021-09-13 01:03:00,1791.1148526615923,1781.903336693991,-1.721167013072391
-81.55350464614598,STOP,36,2021-09-14 01:05:00,2021-09-14 10:09:00,1789.9215969387433,1783.7325443750467,-2.217016058854259
-72.0831993968161,STOP,23,2021-09-15 07:00:00,2021-09-15 12:53:00,1799.896604861347,1792.973131815,-2.0504869128475667
-61.87331977420974,STOP,3,2021-09-17 12:41:00,2021-09-17 13:25:00,1755.5923694398086,1747.55512499429,-1.8353215696100045
-56.77211192042196,STOP,4,2021-09-17 13:15:00,2021-09-17 14:16:00,1753.586479010897,1744.8295303331581,-1.748175943922977
77.73515694350269,TARGET_SAME,0,2021-09-21 07:20:00,2021-09-21 07:20:00,1757.1116940174968,1777.5199726137,2.480412081307712
