symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,pullback_candles,stop_ticks,r_multiple
GOLD,4.366888661275697,TARGET,3,2016-04-29 13:03:00,2016-04-29 13:45:00,1281.7804999999998,1286.1414999999997,3,21.80499999999938,0.8223242375601593
GOLD,-8.143501309257395,STOP_SAME_15M,0,2016-04-29 14:00:00,2016-04-29 14:00:00,1292.6914,1283.8148999999999,2,75.91400000000021,-1.5086817056142539
GOLD,3.668917793461322,TARGET,1,2016-04-29 14:37:00,2016-04-29 14:50:00,1289.4881999999998,1293.4645999999993,3,19.881999999997788,0.7008586661300239
GOLD,-10.910535879150633,STOP_SAME_15M,0,2016-05-02 10:08:00,2016-05-02 10:12:00,1306.3049999999998,1301.2974,2,37.04999999999927,-2.0553852631579113
GOLD,-9.8852698903489,STOP,7,2016-05-05 12:26:00,2016-05-05 14:02:00,1285.7844999999998,1280.4183,2,40.84499999999707,-1.9420743787489965
GOLD,-9.312521312494182,STOP_SAME_15M,0,2016-05-06 12:41:00,2016-05-06 12:42:00,1296.9957,1291.4073,2,42.95699999999897,-1.9034855786018718
GOLD,-9.936511665292052,STOP_SAME_15M,0,2016-05-06 17:08:00,2016-05-06 17:08:00,1298.2969999999998,1293.5052,2,34.969999999998436,-2.111410408921953
GOLD,-8.84176879179553,STOP,3,2016-05-11 05:57:00,2016-05-11 07:18:00,1277.6764,1272.4263,3,39.764000000000124,-1.9616242581229129
GOLD,-15.558319568375435,STOP_SAME_15M,0,2016-05-11 07:39:00,2016-05-11 07:40:00,1275.3740999999998,1272.6261000000002,2,14.740999999996802,-3.5927007665699353
GOLD,-11.809945496079912,STOP_SAME_15M,0,2016-05-11 13:45:00,2016-05-11 13:59:00,1280.4791999999998,1277.2215,2,19.791999999997643,-2.9382582356509452
GOLD,-12.973132147312082,STOP_SAME_15M,0,2016-05-11 14:54:00,2016-05-11 14:55:00,1278.9776999999997,1276.1226000000001,3,15.776999999995951,-3.429169233695206
GOLD,-11.568702136463283,STOP_SAME_15M,0,2016-05-13 18:40:00,2016-05-13 18:42:00,1276.2749999999999,1273.3254,5,16.749999999999545,-3.283104716417951
GOLD,4.694132612618018,TARGET,17,2016-05-16 03:51:00,2016-05-16 12:38:00,1281.9806999999998,1290.9420999999995,2,44.806999999998425,1.4257765974066354
GOLD,-10.702187572122636,STOP,1,2016-05-16 13:29:00,2016-05-16 13:38:00,1289.2879999999998,1286.2125,3,17.879999999997835,-3.1605148210292935
GOLD,-9.662038063427065,STOP_SAME_15M,0,2016-05-16 14:05:00,2016-05-16 14:10:00,1289.0877999999998,1285.9128,2,18.877999999997428,-3.045873821379654
GOLD,-9.788780571463754,STOP,1,2016-05-17 15:44:00,2016-05-17 15:50:00,1283.0817999999997,1280.1186,3,16.81799999999612,-3.2860033297663
GOLD,-5.372945787792962,STOP_SAME_15M,0,2016-05-19 23:19:00,2016-05-19 23:19:00,1262.9616999999998,1257.6411,2,40.61699999999746,-1.9305223921018972
GOLD,-5.104866442027468,STOP_SAME_15M,0,2016-05-20 13:44:00,2016-05-20 13:44:00,1262.4612,1257.0417,3,41.61200000000008,-1.9078638133230692
GOLD,-4.768993517233904,STOP_SAME_15M,0,2016-05-26 02:33:00,2016-05-26 02:34:00,1235.8345999999997,1230.2685,3,43.34599999999682,-1.8530436718498517
GOLD,-4.413345435691932,STOP_SAME_15M,0,2016-05-26 13:12:00,2016-05-26 13:14:00,1235.9347,1229.9688,4,47.34699999999975,-1.7808527467421305
GOLD,-6.505476543390501,STOP,1,2016-05-31 00:23:00,2016-05-31 01:00:00,1215.3140999999998,1211.9868000000001,4,21.140999999997803,-2.722009791400735
GOLD,-7.36036320199786,STOP_SAME_15M,0,2016-05-31 14:09:00,2016-05-31 14:11:00,1217.4161999999997,1214.5842,3,16.16199999999708,-3.25702289320666
GOLD,-7.196003418727729,STOP,1,2016-05-31 14:19:00,2016-05-31 14:39:00,1217.8165999999999,1215.0837,2,15.165999999999258,-3.4061718976659794
GOLD,-6.414323669526999,STOP_SAME_15M,0,2016-06-02 07:20:00,2016-06-02 07:27:00,1219.8185999999998,1216.9818,3,16.185999999997875,-3.2581245520823576
GOLD,-3.2629939372294348,STOP,1,2016-06-06 00:11:00,2016-06-06 00:46:00,1253.9526999999998,1247.8509,4,48.526999999999134,-1.7729518824572021
GOLD,0.6795972518596685,TARGET,1,2016-06-08 06:15:00,2016-06-08 06:49:00,1253.8525999999997,1256.9577999999992,2,15.525999999997566,0.38283498647404834
GOLD,-2.6808144209176925,STOP_SAME_15M,0,2016-06-08 07:35:00,2016-06-08 07:36:00,1262.3610999999999,1253.5452,2,75.61099999999897,-1.4986981127084662
GOLD,1.3418312920036914,TARGET,1,2016-06-08 12:52:00,2016-06-08 13:07:00,1261.6604,1265.7812000000001,2,20.604000000000724,0.7733247913027029
GOLD,0.6702732855675586,TARGET,1,2016-06-08 13:30:00,2016-06-08 13:54:00,1263.6623999999997,1266.7871999999993,3,15.623999999997977,0.38040860215032857
GOLD,-5.590519510174566,STOP_SAME_15M,0,2016-06-08 14:18:00,2016-06-08 14:20:00,1264.8635999999997,1261.8369,2,17.635999999997694,-3.148900260830342
GOLD,0.6285702237145181,TARGET,1,2016-06-10 12:58:00,2016-06-10 13:10:00,1274.1728999999998,1277.3186999999996,2,15.728999999998905,0.37784245660869925
GOLD,-5.287906359110885,STOP_SAME_15M,0,2016-06-10 13:24:00,2016-06-10 13:26:00,1277.1759,1274.1246,2,17.75899999999865,-3.154795033504297
GOLD,-4.955530504308465,STOP_SAME_15M,0,2016-06-10 13:38:00,2016-06-10 13:39:00,1278.8775999999998,1275.8229,2,17.77599999999893,-3.155603341584299
GOLD,-2.2017304689033472,STOP_SAME_15M,0,2016-06-13 11:45:00,2016-06-13 11:46:00,1295.4941999999999,1286.4123,4,77.94199999999819,-1.4964725693464596
GOLD,-2.118304442067644,STOP,1,2016-06-13 12:28:00,2016-06-13 12:31:00,1296.0947999999999,1286.8119,2,79.94799999999941,-1.484190561364889
GOLD,-2.668927552749511,STOP_SAME_15M,0,2016-06-15 20:01:00,2016-06-15 20:01:00,1301.3,1295.8029,2,42.000000000000455,-1.9271911666666566
GOLD,-2.412921911435466,STOP,1,2016-06-16 00:36:00,2016-06-16 00:48:00,1303.8024999999998,1297.701,4,48.02499999999782,-1.8121818844352224
GOLD,1.0397632556996657,TARGET,1,2016-06-16 14:14:00,2016-06-16 14:20:00,1314.1127999999999,1318.5383999999995,4,22.127999999997883,0.8102624728849189
GOLD,-2.291136097936203,STOP_SAME_15M,0,2016-06-16 14:32:00,2016-06-16 14:32:00,1320.9195999999997,1314.3843,3,52.19599999999673,-1.756955303088427
GOLD,0.46282496884704494,TARGET_SAME_15M,0,2016-06-16 15:10:00,2016-06-16 15:10:00,1316.5151999999998,1319.7455999999993,2,16.151999999997315,0.3678424962850191
GOLD,-3.9960128055071618,STOP,1,2016-06-22 15:42:00,2016-06-22 15:45:00,1272.8715999999997,1269.8289,2,17.715999999998076,-3.1527435651390534
GOLD,-4.093259056631492,STOP_SAME_15M,0,2016-06-24 12:07:00,2016-06-24 12:08:00,1329.3279999999997,1326.3723,2,16.279999999997017,-3.44680608108156
GOLD,-1.705373525494274,STOP_SAME_15M,0,2016-06-24 19:23:00,2016-06-24 19:23:00,1330.329,1321.677,2,73.28999999999951,-1.5423667621776667
GOLD,0.5818293244962469,TARGET_SAME_15M,0,2016-06-26 22:08:00,2016-06-26 22:12:00,1331.4300999999998,1335.0902999999996,2,18.30099999999902,0.5429646467405376
GOLD,0.2782941308865581,TARGET,1,2016-06-26 23:14:00,2016-06-26 23:24:00,1335.9345999999998,1339.0037999999993,2,15.345999999997275,0.2569148963896298
GOLD,-3.4633532765194786,STOP_SAME_15M,0,2016-06-27 01:55:00,2016-06-27 01:57:00,1333.9325999999999,1330.7678999999998,3,18.325999999999567,-3.1809453781513564
