symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple
GOLD,-14.454151205683996,STOP,4,2014-06-18 17:00:00,2014-06-18 18:00:00,1273.0,1269.0297,-2.4119739629629047
SILVER,14.015944665740246,TARGET,42,2014-06-17 23:48:00,2014-06-18 20:38:00,19.73,19.94,2.433285714285717
GOLD,8.543629833573732,TARGET,8,2014-06-18 18:32:00,2014-06-18 23:56:00,1274.2,1279.3000000000002,1.497941176470628
SILVER,16.547344356776428,TARGET,14,2014-06-19 12:15:00,2014-06-19 15:59:00,20.05,20.439999999999998,2.6885384615384593
SILVER,-10.980989182689726,STOP,1,2014-06-20 04:03:00,2014-06-20 04:40:00,20.86,20.74923,-1.693102555555544
GOLD,-15.762343876740946,STOP,3,2014-06-20 05:44:00,2014-06-20 06:34:00,1315.6,1311.687,-2.515495000000092
GOLD,-10.369724209575445,STOP,8,2014-06-23 17:16:00,2014-06-24 07:06:00,1320.6192999999998,1313.9847,-1.742560863271495
GOLD,-13.87061693099328,STOP,3,2014-06-24 13:15:00,2014-06-24 14:00:00,1323.0,1318.8798,-2.4150285000000635
GOLD,-16.28412013794905,STOP,6,2014-06-24 18:33:00,2014-06-24 22:39:00,1321.2,1317.8808000000001,-2.979140399999955
GOLD,-9.764333992121154,STOP,12,2014-06-25 17:14:00,2014-06-26 02:50:00,1322.7,1316.9817,-1.899541295454506
